"","likes","filter","commentsCount","usersInPhoto","dateNew","followers","gender","hasCaption","hasTags","hasLocation"
"1",85,"Normal",0,9,2017-05-01,245,"Male",TRUE,TRUE,FALSE
"2",75,"Normal",0,0,2017-02-21,245,"Male",FALSE,FALSE,FALSE
"3",59,"Normal",3,1,2017-02-12,245,"Male",TRUE,FALSE,FALSE
"4",81,"Normal",7,0,2017-01-01,245,"Male",FALSE,FALSE,FALSE
"5",67,"Normal",0,0,2016-12-10,245,"Male",TRUE,TRUE,FALSE
"6",63,"Normal",10,0,2016-11-14,245,"Male",TRUE,FALSE,FALSE
"7",61,"Mayfair",0,0,2016-09-01,245,"Male",TRUE,FALSE,FALSE
"8",65,"Normal",4,0,2016-07-08,245,"Male",FALSE,FALSE,FALSE
"9",67,"Normal",12,0,2016-06-25,245,"Male",TRUE,FALSE,FALSE
"10",56,"Normal",2,0,2016-06-18,245,"Male",FALSE,FALSE,FALSE
"11",48,"Normal",4,2,2016-06-05,245,"Male",FALSE,FALSE,FALSE
"12",31,"Normal",3,0,2016-05-22,245,"Male",FALSE,FALSE,FALSE
"13",27,"Juno",0,0,2016-04-24,245,"Male",TRUE,FALSE,FALSE
"14",39,"Juno",0,0,2016-04-12,245,"Male",FALSE,FALSE,FALSE
"15",44,"Normal",4,0,2016-03-23,245,"Male",TRUE,TRUE,FALSE
"16",42,"Normal",0,0,2016-03-17,245,"Male",TRUE,TRUE,TRUE
"17",48,"Amaro",5,0,2016-03-13,245,"Male",TRUE,TRUE,TRUE
"18",40,"Clarendon",2,0,2016-03-06,245,"Male",FALSE,FALSE,TRUE
"19",38,"Normal",2,0,2016-03-02,245,"Male",TRUE,TRUE,FALSE
"20",38,"Normal",0,0,2016-02-25,245,"Male",TRUE,FALSE,FALSE
"21",21,"Clarendon",2,0,2017-03-12,166,"Male",TRUE,TRUE,FALSE
"22",23,"Ludwig",0,0,2017-02-27,166,"Male",TRUE,TRUE,FALSE
"23",44,"Normal",2,0,2017-01-22,166,"Male",TRUE,TRUE,TRUE
"24",37,"Normal",2,0,2016-11-22,166,"Male",TRUE,FALSE,FALSE
"25",30,"Normal",2,0,2016-10-14,166,"Male",TRUE,TRUE,FALSE
"26",31,"Normal",2,1,2016-09-05,166,"Male",TRUE,TRUE,TRUE
"27",31,"Normal",0,1,2016-09-03,166,"Male",TRUE,TRUE,TRUE
"28",27,"Normal",0,2,2016-08-24,166,"Male",FALSE,FALSE,TRUE
"29",27,"Ludwig",0,2,2016-08-21,166,"Male",FALSE,FALSE,TRUE
"30",23,"Normal",0,1,2016-08-16,166,"Male",TRUE,TRUE,TRUE
"31",30,"Normal",3,2,2016-08-06,166,"Male",TRUE,TRUE,TRUE
"32",25,"Ludwig",0,0,2016-08-02,166,"Male",TRUE,FALSE,FALSE
"33",21,"Normal",0,2,2016-07-30,166,"Male",TRUE,TRUE,TRUE
"34",21,"Clarendon",0,2,2016-07-18,166,"Male",TRUE,TRUE,FALSE
"35",24,"Normal",0,2,2016-07-13,166,"Male",TRUE,TRUE,FALSE
"36",19,"Normal",4,1,2016-06-28,166,"Male",TRUE,FALSE,TRUE
"37",16,"Normal",0,2,2016-06-24,166,"Male",TRUE,TRUE,FALSE
"38",15,"Normal",2,2,2016-06-17,166,"Male",TRUE,TRUE,FALSE
"39",10,"Normal",0,0,2016-04-15,166,"Male",TRUE,FALSE,FALSE
"40",18,"Skyline",1,0,2016-01-29,166,"Male",TRUE,TRUE,TRUE
"41",71,"Juno",0,0,2017-01-18,375,"Male",TRUE,TRUE,FALSE
"42",51,"Clarendon",0,3,2016-05-18,375,"Male",TRUE,TRUE,FALSE
"43",37,"Gingham",3,0,2016-03-05,375,"Male",TRUE,TRUE,FALSE
